id,gender,masterCategory,subCategory,articleType,baseColour,year,usage,productDisplayName,
1620,Men,Apparel,Bottomwear,Shorts,Blue,2010,Sports,Reebok Men Micro Shorts,
1621,Men,Apparel,Bottomwear,Shorts,Grey,2010,Sports,Reebok Men Micro Shorts Black and White,
1804,Men,Apparel,Bottomwear,Shorts,Black,2010,Sports,Kalenji Men Essential Baggy Black Shorts,
1885,Men,Apparel,Bottomwear,Shorts,Grey,2010,Casual,FIFA Mens 1904 Heritage Shorts,
1997,Men,Apparel,Bottomwear,Shorts,Grey,2010,Sports,Puma Men's Grey Sports Shorts,
2106,Men,Apparel,Bottomwear,Shorts,Navy Blue,2010,Sports,ADIDAS Men's Chelsea Striped Black Shorts,
2107,Men,Apparel,Bottomwear,Shorts,Navy Blue,2010,Sports,ADIDAS Men's Chelsea Striped Navy Shorts,
2108,Men,Apparel,Bottomwear,Shorts,Black,2010,Sports,ADIDAS Men's Black Football Shorts,
2117,Men,Apparel,Bottomwear,Shorts,Grey,2010,Sports,ADIDAS Men Grey  Capris,
2187,Men,Apparel,Bottomwear,Shorts,Navy Blue,2010,Sports,ADIDAS Men Stripe Navy Short,
2191,Men,Apparel,Bottomwear,Shorts,Blue,2010,Sports,ADIDAS Men Chelsea Lead Short,
2192,Men,Apparel,Bottomwear,Shorts,White,2010,Sports,ADIDAS Men White Short,
2193,Men,Apparel,Bottomwear,Shorts,Navy Blue,2010,Sports,ADIDAS Men Navy Short,
3507,Men,Apparel,Bottomwear,Shorts,Black,2010,Sports,ADIDAS Men's Cont Black Short,
32427,Men,Apparel,Bottomwear,Shorts,Black,2010,Casual,ADIDAS Men Black 3/4 Length Pants,
1541,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Puma Men's Ballistic Spike White Green Shoe,
1542,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Puma Men's Ballistic Rubber Shoe,
1548,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Puma Men's Cell Exsis Sneaker,
1549,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Puma Men's Jiyu Slip On Sneaker,
1571,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Kalenji Men's Super Soft Sports Shoes,
1587,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Kipsta Men Superfit Football White Shoe,
1590,Men,Footwear,Shoes,Sports Shoes,Black,2010,Sports,Kipsta Men's F300 Football Shoe,
1618,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Reebok Men United Runner White,
1634,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Inesis Water Repellent Canaveral Shoes,
1636,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Nike Men Air Zoom Century Shoes,
1637,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Nike Men White Cricket Shoes,
1641,Men,Footwear,Shoes,Sports Shoes,Silver,2010,Sports,Reebok Men's Hex Run Pure Silver Shoe,
1642,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Reebok Men Winning Stride White Red,
1653,Men,Footwear,Shoes,Sports Shoes,Brown,2010,Sports,Reebok Men's Ventilator Ubiq Shoe,
1654,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Reebok Men's Frisker LP Shoe,
1657,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Reebok Men's White High Wire Shoe,
1782,Men,Footwear,Shoes,Sports Shoes,Black,2010,Sports,Kalenji Men's Kapteren Black Shoe,
1784,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Lotto Men's Melbourne White-Red Shoe,
1785,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Lotto Men Brighton White-Blue Shoe,
1786,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Lotto Men's Court Logo White Shoe,
1787,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Lotto Men Court Logo White-Silver Shoe,
1788,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Lotto Men's Court-White-Blue Shoe,
1789,Men,Footwear,Shoes,Sports Shoes,Orange,2010,Sports,Lotto Men OSLO Grey-Orange Shoe,
1827,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Nike Men's Downshifter White/Blue Shoe,
1828,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Nike Men's Air Afterburner Shoe,
1831,Men,Footwear,Shoes,Sports Shoes,Black,2010,Sports,Nike Men's Air Impetus Shoe,
1832,Men,Footwear,Shoes,Sports Shoes,Black,2010,Sports,Nike Lunarswift Shoe,
1833,Men,Footwear,Shoes,Sports Shoes,Black,2010,Sports,Nike Men's Ballista Shoe,
1836,Men,Footwear,Shoes,Sports Shoes,Silver,2010,Sports,Nike Air Visi Sleek Shoes,
1841,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Puma Men's Calibre Convertible Spike Shoe,
1842,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Puma Men's Calibre Rubber Shoe,
1929,Men,Footwear,Shoes,Sports Shoes,Black,2010,Sports,Quechua Men's Lighweight Black Shoe,
1962,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,ADIDAS Men's Duramo Leather Shoe,
1963,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,ADIDAS Men's Azaro White Shoe,
2196,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,ADIDAS Men's White Comfort Shoe,
2197,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,ADIDAS Men's Stripe White Run Shoe,
2198,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,ADIDAS Men's Sports Shoe,
2351,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Reebok Men's Stripe Silver Shoe,
2353,Men,Footwear,Shoes,Sports Shoes,Grey,2010,Sports,Reebok Men Frisky Attraction Grey Shoe,
2474,Men,Footwear,Shoes,Sports Shoes,Black,2010,Sports,Nike Men's Dual Fusion Black Shoe,
2477,Men,Footwear,Shoes,Sports Shoes,Blue,2010,Sports,Nike Men's LunarFly Blue Shoe,
2963,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Puma Men's Basket Biz White & Blue Shoe,
2967,Men,Footwear,Shoes,Sports Shoes,Black,2010,Sports,Puma Men's Mid Pixel Black & Silver Canvas Shoe,
3150,Men,Footwear,Shoes,Sports Shoes,Black,2010,Sports,Nike Men's Lunarswift Black Shoe,
3151,Men,Footwear,Shoes,Sports Shoes,Blue,2010,Sports,Nike Men's Lunarswift Blue Shoe,
3152,Men,Footwear,Shoes,Sports Shoes,Grey,2010,Sports,Nike Men's Air Alvord Grey Shoe,
3154,Men,Footwear,Shoes,Sports Shoes,Black,2010,Sports,Nike Men's Air Visi Sleek Black Shoe,
3159,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Nike Men's Air Max Moto White Blue Shoe,
3160,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Nike Men's Dual Fusion White Shoe,
3168,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Nike Men's Incinerate MSL White Blue Shoe,
3175,Men,Footwear,Shoes,Sports Shoes,Black,2010,Sports,Nike Men's Air Compel Black Shoe,
3181,Men,Footwear,Shoes,Sports Shoes,Grey,2010,Sports,Nike Men's Lunarelite Grey Red Shoe,
3182,Men,Footwear,Shoes,Sports Shoes,Black,2010,Sports,Nike Men's Lunarelite Black Green Shoe,
3187,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Nike Men's Incinerate MSL White Black Shoe,
3215,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Nike Men's Flyclave White Shoe,
3219,Men,Footwear,Shoes,Sports Shoes,Black,2010,Sports,Puma Men's Ikonis Black Silver Shoe,
3220,Men,Footwear,Shoes,Sports Shoes,Black,2010,Sports,Puma Men Black Running Shoes,
3221,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Puma Men's Kuris White Grey Shoe,
3226,Men,Footwear,Shoes,Sports Shoes,Black,2010,Sports,Puma Men's Vesta Runner Black White Shoe,
3227,Men,Footwear,Shoes,Sports Shoes,Grey,2010,Sports,Puma Men's Vesta Runner Grey Shoe,
3229,Men,Footwear,Shoes,Sports Shoes,Black,2010,Sports,Puma Men's Mid Black Silver Shoe,
3232,Men,Footwear,Shoes,Sports Shoes,Black,2010,Sports,Puma Men's Speed Cat Black White Shoe,
3238,Men,Footwear,Shoes,Sports Shoes,Black,2010,Sports,Puma Men Black 65CC Lo Ducati Sports Shoes,
3239,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Puma Men White 65CC Lo Ducati Sports Shoes,
3240,Men,Footwear,Shoes,Sports Shoes,Red,2010,Sports,Puma Men's Ducati Red Shoe,
3241,Men,Footwear,Shoes,Sports Shoes,Black,2010,Sports,Puma Men Route Ducati Black Shoe,
3243,Men,Footwear,Shoes,Sports Shoes,Black,2010,Sports,Puma Men's Future Cat Black Shoe,
3248,Men,Footwear,Shoes,Sports Shoes,Black,2010,Sports,Puma Men's Whirlwind Black White Shoe,
3251,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Puma Men's Suede Archive Red White Shoe,
3252,Men,Footwear,Shoes,Sports Shoes,Black,2010,Sports,Puma Men's Suede Archive Black White Shoe,
3257,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Puma Men's Royal Hi Evo White Shoe,
20802,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Fila Men Racer White Sports Shoes,
20804,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Fila Men Streak White Sports Shoes,
20807,Men,Footwear,Shoes,Sports Shoes,Blue,2010,Sports,Fila Men DNA Tech Blue Sports Shoes,
20843,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Reebok Men Aviator LP White Sports Shoes,
22541,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Lotto  Kids-Boy Jumper  White Sports Shoes,
22543,Men,Footwear,Shoes,Sports Shoes,Black,2010,Sports,Lotto Men Sprint  Black Sports Shoes,
23339,Men,Footwear,Shoes,Sports Shoes,Grey,2010,Sports,Reebok Men Negotiator Grey Sport Shoes,
42094,Men,Footwear,Shoes,Sports Shoes,Silver,2010,Sports,ADIDAS Men Silver Adi Quest Sports Shoes,
43339,Men,Footwear,Shoes,Sports Shoes,Charcoal,2010,Sports,Reebok Men Charcoal Zigactivate Sports Shoes,
44782,Men,Footwear,Shoes,Sports Shoes,White,2010,Sports,Lotto Men White Los Angeles II Sports Shoes,
46326,Men,Footwear,Shoes,Sports Shoes,Charcoal,2010,Sports,Reebok Men Charcoal Realflex Breeze Sports Shoes,
1603,Men,Apparel,Topwear,Sweatshirts,Navy Blue,2010,Casual,Reebok Men Hoops Athletic Navy Sweatshirt,
1892,Men,Apparel,Topwear,Sweatshirts,Blue,2010,Casual,FIFA Men Full Sleeves Hoody Sweatshirt,
1895,Men,Apparel,Topwear,Sweatshirts,Black,2010,Casual,FIFA Men Full Sleeves Hoody Sweatshirt,
2286,Men,Apparel,Topwear,Sweatshirts,Black,2010,Sports,Nike Men Black Sweatshirt,
1572,Men,Apparel,Bottomwear,Track Pants,Black,2010,Sports,Kalenji Mens Essential Training Track Pants,
1607,Men,Apparel,Bottomwear,Track Pants,Blue,2010,Sports,Reebok Men trackpant- male Track Pants,
1608,Men,Apparel,Bottomwear,Track Pants,Blue,2010,Sports,Reebok Track Pants Jet Black,
1883,Men,Apparel,Bottomwear,Track Pants,Grey,2010,Casual,FIFA Mens Heritage Collection Grey Track Pants,
1884,Men,Apparel,Bottomwear,Track Pants,Navy Blue,2010,Casual,FIFA Mens 1905 Heritage Collection Track Pants,
1999,Men,Apparel,Bottomwear,Track Pants,Grey,2010,Casual,Puma Men's Grey Track Pants,
2105,Men,Apparel,Bottomwear,Track Pants,Black,2010,Sports,ADIDAS Men's Climalite Track Pants,
2115,Men,Apparel,Bottomwear,Track Pants,Black,2010,Sports,ADIDAS Men's Black Crest Track Pants,
2116,Men,Apparel,Bottomwear,Track Pants,Black,2010,Sports,ADIDAS Men Smooth Striped Track Pants,
2118,Men,Apparel,Bottomwear,Track Pants,Black,2010,Sports,ADIDAS Men's Foamy Striped Track Pants,
2190,Men,Apparel,Bottomwear,Track Pants,Grey,2010,Sports,ADIDAS Men Lead Light Track Pant,
2255,Men,Apparel,Bottomwear,Track Pants,Brown,2010,Sports,ADIDAS Men Brown Track Pant,
3481,Men,Apparel,Bottomwear,Track Pants,Black,2010,Sports,ADIDAS Men's Black White Track Pant,
3508,Men,Apparel,Bottomwear,Track Pants,White,2010,Sports,ADIDAS Men's White Black Tracksuit,
3511,Men,Apparel,Bottomwear,Track Pants,Blue,2010,Sports,ADIDAS Men's Dark Navy White Tracksuit,
17996,Men,Apparel,Bottomwear,Track Pants,Navy Blue,2010,Sports,Puma Men Wind Navy Blue Track Pant,
17997,Men,Apparel,Bottomwear,Track Pants,Black,2010,Sports,Puma Men Wind Black Track Pant,
17999,Men,Apparel,Bottomwear,Track Pants,Grey,2010,Casual,Puma Men Grey Track Pants,
18000,Men,Apparel,Bottomwear,Track Pants,Black,2010,Casual,Puma Men Black Track Pants,
1529,Men,Apparel,Topwear,Tshirts,Red,2010,Casual,Ferrari Tee,
1531,Men,Apparel,Topwear,Tshirts,Grey,2010,Casual,Puma Men Grey Solid Round Neck T-Shirt,
1532,Men,Apparel,Topwear,Tshirts,Grey,2010,Casual,Puma Men Grey Leaping Cat T-shirt,
1533,Men,Apparel,Topwear,Tshirts,Red,2010,Casual,Puma Men Cat Red T-shirt,
1534,Men,Apparel,Topwear,Tshirts,Black,2010,Casual,Puma Men Black Leaping Cat T-shirt,
1536,Men,Apparel,Topwear,Tshirts,Black,2010,Sports,Puma Men Black Net Jersey,
1537,Men,Apparel,Topwear,Tshirts,Red,2010,Sports,Puma Men Red Net Jersey,
1538,Men,Apparel,Topwear,Tshirts,Blue,2010,Casual,Puma Men Ferrari Track Black T-shirt,
1539,Men,Apparel,Topwear,Tshirts,Grey,2010,Casual,Puma Men Ferrari Grey T-shirt,
1540,Men,Apparel,Topwear,Tshirts,Blue,2010,Casual,Puma Men Ferrari Vintage Black Polo T-shirt,
1562,Men,Apparel,Topwear,Tshirts,Grey,2010,Sports,Quechua Men Sweat Proof Grey T-shirt,
1563,Men,Apparel,Topwear,Tshirts,Blue,2010,Sports,Quechua Men Sweat Proof Blue T-shirt,
1578,Men,Apparel,Topwear,Tshirts,Red,2010,Sports,Domyos Men Good Stroke Red T-shirt,
1588,Men,Apparel,Topwear,Tshirts,White,2010,Casual,Domyos Men White Dry-Fit T-shirt,
1595,Men,Apparel,Topwear,Tshirts,Black,2010,Sports,Domyos Men Good Stroke Black T-shirt,
1612,Men,Apparel,Topwear,Tshirts,White,2010,Casual,Reebok Orange & White Striped Polo T-shirt,
1613,Men,Apparel,Topwear,Tshirts,White,2010,Casual,Reebok Men White Polo Tshirt,
1614,Men,Apparel,Topwear,Tshirts,White,2010,Sports,Reebok T-shirt White Polo Tshirt,
1615,Men,Apparel,Topwear,Tshirts,Navy Blue,2010,Casual,Reebok Men Navy Blue Polo T-shirt,
1616,Men,Apparel,Topwear,Tshirts,White,2010,Sports,Reebok Men's Shoot White T-Shirt,
1617,Men,Apparel,Topwear,Tshirts,Red,2010,Sports,Reebok Men Shoot T-Shirt Red,
1625,Men,Apparel,Topwear,Tshirts,Red,2010,Sports,Domyos Men Quick Dry T-shirt,
1644,Men,Apparel,Topwear,Tshirts,Red,2010,Sports,Kipsta Men Loose Fit Round Neck Jersey Red,
1645,Men,Apparel,Topwear,Tshirts,Black,2010,Sports,Kipsta Men Loose Fit Round Neck Jersey Black,
1668,Men,Apparel,Topwear,Tshirts,Red,2010,Casual,Reebok Men Playdry Full Sleeved T-shirt Red,
1670,Men,Apparel,Topwear,Tshirts,Grey,2010,Casual,Reebok Men Green Polo T-shirt,
1671,Men,Apparel,Topwear,Tshirts,Black,2010,Casual,Reebok Men Black Polo T-shirt,
1673,Men,Apparel,Topwear,Tshirts,Black,2010,Sports,Reebok Mens Lagoon Black T-shirt,
1678,Men,Apparel,Topwear,Tshirts,Green,2010,Casual,Reebok Men Play Hard Cotton Green T-shirt,
1689,Men,Apparel,Topwear,Tshirts,Blue,2010,Casual,Reebok Men Blue Polo T-shirt,
1752,Men,Apparel,Topwear,Tshirts,Red,2010,Sports,Lotto Men Red Epic T-shirt,
1754,Men,Apparel,Topwear,Tshirts,Black,2010,Sports,Lotto Men Marcello Black T-shirt,
1755,Men,Apparel,Topwear,Tshirts,Red,2010,Casual,Lotto Men Jasper Street Red T-shirt,
1756,Men,Apparel,Topwear,Tshirts,White,2010,Sports,Lotto Men White Polo T-shirt,
1757,Men,Apparel,Topwear,Tshirts,Black,2010,Sports,Lotto Men Polo Slate Black Rugby T-shirt,
1759,Men,Apparel,Topwear,Tshirts,Grey,2010,Sports,Lotto Men Epic Grey T-shirt,
1760,Men,Apparel,Topwear,Tshirts,White,2010,Sports,Lotto Men Marcello White T-shirt,
1766,Men,Apparel,Topwear,Tshirts,Blue,2010,Casual,Inesis Men Blue Polo T-shirt,
1796,Men,Apparel,Topwear,Tshirts,Blue,2010,Sports,Domyos Men Performance Blue T-shirt,
1798,Men,Apparel,Topwear,Tshirts,Black,2010,Sports,Domyos Men Slt Compression T-shirt,
1807,Men,Apparel,Topwear,Tshirts,Red,2010,Casual,Quechua Men G1 Techfresh Red T-shirt,
1810,Men,Apparel,Topwear,Tshirts,Red,2010,Sports,Tribord Profilter Red Men T-shirt,
1811,Men,Apparel,Topwear,Tshirts,Orange,2010,Sports,Solognac Men Orange T-shirt,
1812,Men,Apparel,Topwear,Tshirts,Green,2010,Sports,Solognac Men Green T-shirt,
1813,Men,Apparel,Topwear,Tshirts,Blue,2010,Sports,Solognac Men Dark Blue T-shirt,
1814,Men,Apparel,Topwear,Tshirts,Brown,2010,Sports,Solognac Men Chocolate Brown  T-shirt,
1869,Men,Apparel,Topwear,Tshirts,Navy Blue,2010,Casual,FIFA Mens 1904 Navy Blue T-shirt,
1870,Men,Apparel,Topwear,Tshirts,Black,2010,Casual,FIFA Mens 1990 World Cup Black T-shirt,
1871,Men,Apparel,Topwear,Tshirts,White,2010,Casual,FIFA Mens 1990 World Cup White T-shirt,
1872,Men,Apparel,Topwear,Tshirts,White,2010,Casual,FIFA Mens 1962 World Cup White T-shirt,
1875,Men,Apparel,Topwear,Tshirts,Green,2010,Casual,FIFA Mens 1990 World Cup Edition T-shirt,
1876,Men,Apparel,Topwear,Tshirts,White,2010,Casual,FIFA Mens Mexican Wave White T-shirt,
1877,Men,Apparel,Topwear,Tshirts,Grey,2010,Casual,FIFA Mens Mexican Wave Grey T-shirt,
1879,Men,Apparel,Topwear,Tshirts,Red,2010,Casual,FIFA Mens 1982 Spain Red T-shirt,
1880,Men,Apparel,Topwear,Tshirts,Black,2010,Casual,FIFA Mens World Cup Champions Black T-shirt,
1881,Men,Apparel,Topwear,Tshirts,Grey,2010,Casual,FIFA Mens France 1938 Grey T-shirt,
1882,Men,Apparel,Topwear,Tshirts,Red,2010,Casual,FIFA Mens Code Collection Red T-shirt,
1886,Men,Apparel,Topwear,Tshirts,Grey,2010,Casual,FIFA Mens Red Card Grey T-shirt,
1887,Men,Apparel,Topwear,Tshirts,Green,2010,Casual,FIFA Mens Essentials Green T-shirt,
1888,Men,Apparel,Topwear,Tshirts,Black,2010,Casual,FIFA Mens Essentials Black T-shirt,
1889,Men,Apparel,Topwear,Tshirts,Navy Blue,2010,Casual,Fifa Men Essentials Navy Blue T-shirt,
1890,Men,Apparel,Topwear,Tshirts,Red,2010,Casual,FIFA Mens Essentials Red T-shirt,
1891,Men,Apparel,Topwear,Tshirts,White,2010,Casual,FIFA Mens Essentials White T-shirt,
1897,Men,Apparel,Topwear,Tshirts,Blue,2010,Sports,FIFA Men Germany Blue Jersey,
1902,Men,Apparel,Topwear,Tshirts,Blue,2010,Sports,FIFA Men Blue Jersey,
1903,Men,Apparel,Topwear,Tshirts,Yellow,2010,Sports,FIFA Men Brazil Yellow Jersey,
1904,Men,Apparel,Topwear,Tshirts,Blue,2010,Sports,FIFA Men Brazil Blue & Yellow Jersey,
1905,Men,Apparel,Topwear,Tshirts,Blue,2010,Casual,FIFA Mens 1904 Football Federation T-shirt,
1906,Men,Apparel,Topwear,Tshirts,Cream,2010,Casual,FIFA Mens 1905 Football Federation T-shirt,
1907,Men,Apparel,Topwear,Tshirts,Black,2010,Sports,Nike Mens Classic Black T-shirt,
1909,Men,Apparel,Topwear,Tshirts,Blue,2010,Sports,Nike Mens Classic Sportswear T-shirt,
1910,Men,Apparel,Topwear,Tshirts,Black,2010,Sports,Nike Men's Classic Patterned T-shirt,
1911,Men,Apparel,Topwear,Tshirts,Blue,2010,Sports,Nike Mens Manchester United Blues T-shirt,
1912,Men,Apparel,Topwear,Tshirts,White,2010,Sports,Nike Mens Running White T-shirt,
1913,Men,Apparel,Topwear,Tshirts,Black,2010,Sports,Nike Mens Seize Victory Black T-shirt,
1922,Men,Apparel,Topwear,Tshirts,Black,2010,Sports,Puma Mens Slim Fit Black Polo T-shirt,
1924,Men,Apparel,Topwear,Tshirts,White,2010,Sports,Puma Mens Racing White T-shirt,
1926,Men,Apparel,Topwear,Tshirts,Blue,2010,Casual,Puma Mens Ocean Racing Blues T-shirt,
1928,Men,Apparel,Topwear,Tshirts,Green,2010,Casual,Puma Mens One Love T-shirt,
1931,Men,Apparel,Topwear,Tshirts,Navy Blue,2010,Casual,Puma Men's Jamaica Jam Navy Blue T-shirt,
1938,Men,Apparel,Topwear,Tshirts,Blue,2010,Casual,Puma Men's Jamaica Jam Blues T-shirt,
1942,Men,Apparel,Topwear,Tshirts,White,2010,Casual,Puma Mens Reggae All Night White T-shirt,
1944,Men,Apparel,Topwear,Tshirts,Blue,2010,Casual,Puma Mens Reggae All Night Blues T-shirt,
1945,Men,Apparel,Topwear,Tshirts,Green,2010,Sports,Puma Mens Reggae All Night Green T-shirt,
1946,Men,Apparel,Topwear,Tshirts,Green,2010,Casual,Puma Mens One Love Reggae Polo T-shirt,
1947,Men,Apparel,Topwear,Tshirts,Blue,2010,Sports,Puma Mens Cricket Way of Life T-shirt,
1948,Men,Apparel,Topwear,Tshirts,Black,2010,Casual,Puma Mens Keyboard Sidebar Black Polo T-shirt,
1949,Men,Apparel,Topwear,Tshirts,White,2010,Casual,Puma Mens Keyboard Sidebar White Polo T-shirt,
1950,Men,Apparel,Topwear,Tshirts,Black,2010,Casual,Puma Mens Colour Splash T-shirt,
1972,Men,Apparel,Topwear,Tshirts,White,2010,Sports,Kalenji Mens White T-shirt,
1973,Men,Apparel,Topwear,Tshirts,Brown,2010,Casual,Quechua Mens Brown T-shirt,
1992,Men,Apparel,Topwear,Tshirts,Yellow,2010,Sports,Puma Men's Heroes T-shirt,
1995,Men,Apparel,Topwear,Tshirts,Red,2010,Casual,ADIDAS Mens Crew Red T-shirt,
1996,Men,Apparel,Topwear,Tshirts,Grey,2010,Sports,ADIDAS Mens Crew Grey T-shirt,
1998,Men,Apparel,Topwear,Tshirts,Black,2010,Sports,ADIDAS Mens Fitted T-shirt,
2001,Men,Apparel,Topwear,Tshirts,Grey,2010,Sports,ADIDAS Mens Grey Polo T-shirt,
2003,Men,Apparel,Topwear,Tshirts,Blue,2010,Casual,ADIDAS Mens Dark Blue T-shirt,
2004,Men,Apparel,Topwear,Tshirts,Red,2010,Sports,ADIDAS Mens Red T-shirt,
2005,Men,Apparel,Topwear,Tshirts,Black,2010,Casual,ADIDAS Mens Black T-shirt,
2006,Men,Apparel,Topwear,Tshirts,White,2010,Casual,Puma Men's African Splash T-shirt,
